idCliente,nombreCliente,documentoCliente,email,telefono
1,Juan Perez,CC12345678,juan.perez@email.com,3123456789
2,Maria Gonzalez,CC87654321,maria.gonzalez@email.com,3159876543
3,Carlos Ramirez,CC11223344,carlos.ramirez@email.com,3101122334
4,Ana Martinez,CC55667788,ana.martinez@email.com,3195566778
5,Luis Fernandez,CC99887766,luis.fernandez@email.com,3139988776
6,Sofia Castro,CC44556677,sofia.castro@email.com,3174455667
7,Diego Rojas,CC22334455,diego.rojas@email.com,3112233445
8,Laura Herrera,CC66778899,laura.herrera@email.com,3146677889
9,Andres Molina,CC33445566,andres.molina@email.com,3183344556
10,Paula Torres,CC77889900,paula.torres@email.com,3167788990
11,Javier Ortiz,CC99001122,javier.ortiz@email.com,3129900112
12,Camila Ruiz,CC11224433,camila.ruiz@email.com,3191122443
13,Fernando Vega,CC55447788,fernando.vega@email.com,3155544778
14,Gabriela Jimenez,CC99882211,gabriela.jimenez@email.com,3179988221
15,Ricardo Lopez,CC44332211,ricardo.lopez@email.com,3114433221
16,Valentina Paredes,CC66557788,valentina.paredes@email.com,3146655778
17,Esteban Mendez,CC22113344,esteban.mendez@email.com,3182211334
18,Natalia Figueroa,CC77886655,natalia.figueroa@email.com,3167788665
19,Oscar Cardenas,CC99003322,oscar.cardenas@email.com,3139900332
20,Elena Silva,CC11228899,elena.silva@email.com,3121122889
21,Hugo Salazar,CC33114455,hugo.salazar@email.com,3123311445
22,Diana Castano,CC77228899,diana.castano@email.com,3157722889
23,Martin Arango,CC55001122,martin.arango@email.com,3105500112
24,Lorena Quintero,CC99886655,lorena.quintero@email.com,3199988665
25,Sebastian Duarte,CC44112233,sebastian.duarte@email.com,3134411223
26,Patricia Leon,CC66779900,patricia.leon@email.com,3176677990
27,Rodrigo Nieto,CC22335566,rodrigo.nieto@email.com,3112233556
28,Isabel Alvarez,CC77884455,isabel.alvarez@email.com,3147788445
29,Tomas Valencia,CC33447799,tomas.valencia@email.com,3183344779
30,Alejandra Pena,CC55668800,alejandra.pena@email.com,3165566880
31,German Sepulveda,CC99002233,german.sepulveda@email.com,3129900223
32,Carolina Vargas,CC11225544,carolina.vargas@email.com,3191122554
33,Samuel Parra,CC55448877,samuel.parra@email.com,3155544887
34,Vanessa Rincon,CC99881100,vanessa.rincon@email.com,3179988110
35,Leonardo Acosta,CC44331122,leonardo.acosta@email.com,3114433112
36,Mariana Lozano,CC66558877,mariana.lozano@email.com,3146655887
37,Cristian Bernal,CC22116655,cristian.bernal@email.com,3182211665
38,Fabiola Espitia,CC77889933,fabiola.espitia@email.com,3167788993
39,Emanuel Vargas,CC99005522,emanuel.vargas@email.com,3139900552
40,Beatriz Medina,CC11223399,beatriz.medina@email.com,3121122339
41,Julian Ramirez,CC11228833,julian.ramirez@email.com,3101122883
42,Camila Ortega,CC33446699,camila.ortega@email.com,3123344669
43,Esteban Rojas,CC55667722,esteban.rojas@email.com,3145566772
44,Natalia Guzman,CC77880011,natalia.guzman@email.com,3167788001
45,Ricardo Villalobos,CC99001144,ricardo.villalobos@email.com,3189900114
46,Paola Mendez,CC22334488,paola.mendez@email.com,3192233448
47,Felipe Salinas,CC44556677,felipe.salinas@email.com,3154455667
48,Gabriela Suarez,CC66778899,gabriela.suarez@email.com,3176677889
49,Oscar Paredes,CC88990022,oscar.paredes@email.com,3118899002
50,Valeria Quintero,CC11224455,valeria.quintero@email.com,3131122445
51,Santiago Londono,CC33445566,santiago.londono@email.com,3103344556
52,Melissa Garzon,CC55667788,melissa.garzon@email.com,3125566778
53,Federico Acuna,CC77889900,federico.acuna@email.com,3147788990
54,Tatiana Castro,CC99001122,tatiana.castro@email.com,3169900112
55,Diego Bermudez,CC22335577,diego.bermudez@email.com,3182233557
56,Lorena Figueroa,CC44556688,lorena.figueroa@email.com,3194455668
57,Andres Molina,CC66778811,andres.molina@email.com,3156677881
58,Veronica Caceres,CC88990033,veronica.caceres@email.com,3178899003
59,Jonathan Peralta,CC11223377,jonathan.peralta@email.com,3111122337
60,Silvia Ocampo,CC33445599,silvia.ocampo@email.com,3133344559
61,Hernan Valencia,CC99887766,hernan.valencia@email.com,3109988776
62,Carolina Pardo,CC77665544,carolina.pardo@email.com,3127766554
